UniqueCarrier,Unnamed: 0,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Data,Retard,VelMitja
9E,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630,35630
AA,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257,132257
AQ,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
AS,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012,24012
B6,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232,38232
CO,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958,58958
DL,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252,72252
EV,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781,56781
F9,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940,15940
FL,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991,46991
HA,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325,4325
MQ,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555,97555
NW,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744,54744
OH,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292,39292
OO,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991,88991
UA,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465,95465
US,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508,59508
WN,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559,203559
XE,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008,72008
YV,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646,50646
